source_type,source_id,user_id,aksi,status,device,ip_address,durasi_ms,jumlah_objek,waktu,is_anomali,risk_level_source,candidate_type
REAL_DB,real_db_353,1,DELETE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-08-01 21:05:42.891000,False,LOW,NORMAL
REAL_DB,real_db_198,6,LOGOUT,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 02:00:40.322000,False,LOW,NORMAL
REAL_DB,real_db_185,1,DELETE_LEMARI,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:46:23.161000,False,LOW,NORMAL
REAL_DB,real_db_419,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-08-15 20:47:26.580000,False,LOW,NORMAL
REAL_DB,real_db_143,1,CREATE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:26:17.006000,False,LOW,NORMAL
REAL_DB,real_db_270,84,EXPORT_VERIFICATION_REPORT,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:10:39.375000,False,LOW,NORMAL
REAL_DB,real_db_60,1,CREATE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-07-05 20:44:33.771000,False,LOW,NORMAL
REAL_DB,real_db_102,1,DELETE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 22:36:10.037000,False,LOW,NORMAL
REAL_DB,real_db_180,6,DELETE_PEMINJAMAN,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:46:06.581000,False,LOW,NORMAL
REAL_DB,real_db_398,6,LOGOUT,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:22:58.059000,False,LOW,NORMAL
REAL_DB,real_db_85,6,CREATE_LEMARI,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 13:03:39.127000,False,LOW,NORMAL
REAL_DB,real_db_171,6,CREATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:45:56.379000,False,LOW,NORMAL
REAL_DB,real_db_381,6,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:21:03.084000,False,LOW,NORMAL
REAL_DB,real_db_349,1,UPDATE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-08-01 20:57:38.538000,False,LOW,NORMAL
REAL_DB,real_db_370,1,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:14:39.704000,False,LOW,NORMAL
REAL_DB,real_db_330,8,AKTIVASI_OTP,SUCCESS,unknown,unknown,0.0,1.0,2026-07-28 16:11:26.437000,False,LOW,NORMAL
REAL_DB,real_db_355,1,LOGOUT,SUCCESS,unknown,unknown,0.0,1.0,2026-08-01 23:39:51.742000,False,LOW,NORMAL
REAL_DB,real_db_389,6,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:21:47.802000,False,LOW,NORMAL
REAL_DB,real_db_303,84,VERIFIKASI_INTEGRITAS_BERKAS,VALID,axios/1.18.1,::ffff:127.0.0.1,0.0,1.0,2026-07-21 08:17:14.693000,False,LOW,NORMAL
REAL_DB,real_db_325,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 15:14:53.674000,False,LOW,NORMAL
REAL_DB,real_db_364,1,CREATE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:09:01.624000,False,LOW,NORMAL
REAL_DB,real_db_402,1,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-09 11:40:50.906000,False,LOW,NORMAL
REAL_DB,real_db_275,84,DELETE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:13:55.315000,False,LOW,NORMAL
REAL_DB,real_db_117,1,DISABLE_2FA_EMAIL_CHANGED,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 22:59:39.423000,False,LOW,NORMAL
REAL_DB,real_db_93,6,UPDATE_RAK,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 19:43:51.858000,False,LOW,NORMAL
REAL_DB,real_db_123,1,UPDATE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 22:59:52.983000,False,LOW,NORMAL
REAL_DB,real_db_261,84,DELETE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:10:36.356000,False,LOW,NORMAL
REAL_DB,real_db_390,6,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:21:47.804000,False,LOW,NORMAL
REAL_DB,real_db_269,84,VERIFIKASI_INTEGRITAS_BERKAS,VALID,axios/1.18.1,::ffff:127.0.0.1,0.0,1.0,2026-07-21 08:10:38.873000,False,LOW,NORMAL
REAL_DB,real_db_172,6,CREATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:45:56.917000,False,LOW,NORMAL
REAL_DB,real_db_394,6,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:21:50.477000,False,LOW,NORMAL
REAL_DB,real_db_105,1,UPDATE_RAK,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 22:44:48.643000,False,LOW,NORMAL
REAL_DB,real_db_315,84,DELETE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:17:18.338000,False,LOW,NORMAL
REAL_DB,real_db_407,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-08-09 14:07:57.763000,False,LOW,NORMAL
REAL_DB,real_db_201,8,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 02:05:29.231000,False,LOW,NORMAL
REAL_DB,real_db_240,6,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-15 01:53:09.721000,False,LOW,NORMAL
REAL_DB,real_db_151,6,CREATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:34:54.592000,False,LOW,NORMAL
REAL_DB,real_db_74,1,LOGOUT,SUCCESS,unknown,unknown,0.0,1.0,2026-07-05 22:07:04.484000,False,LOW,NORMAL
REAL_DB,real_db_139,1,DELETE_BERKAS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 23:04:55.344000,False,LOW,NORMAL
REAL_DB,real_db_237,6,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-13 15:51:31.553000,False,LOW,NORMAL
REAL_DB,real_db_62,1,LOGOUT,SUCCESS,unknown,unknown,0.0,1.0,2026-07-05 20:51:08.105000,False,LOW,NORMAL
REAL_DB,real_db_138,1,UPDATE_PEMINJAMAN,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 23:04:55.238000,False,LOW,NORMAL
REAL_DB,real_db_238,6,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-13 15:51:46.508000,False,LOW,NORMAL
REAL_DB,real_db_405,1,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-09 11:40:52.376000,False,LOW,NORMAL
REAL_DB,real_db_382,6,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:21:03.163000,False,LOW,NORMAL
REAL_DB,real_db_256,84,UPDATE_RAK,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:02:13.261000,False,LOW,NORMAL
REAL_DB,real_db_58,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-05 20:34:12.050000,False,LOW,NORMAL
REAL_DB,real_db_266,84,UPDATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:10:38.119000,False,LOW,NORMAL
REAL_DB,real_db_265,84,CREATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:10:37.720000,False,LOW,NORMAL
REAL_DB,real_db_343,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-08-01 20:35:11.395000,False,LOW,NORMAL
REAL_DB,real_db_120,1,UPDATE_PERKARA,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 22:59:46.353000,False,LOW,NORMAL
REAL_DB,real_db_367,1,ACCESS_BERKAS_FILE,SUCCESS,unknown,unknown,0.0,1.0,2026-08-02 13:09:18.562000,False,LOW,NORMAL
REAL_DB,real_db_136,1,PINJAM,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 23:04:54.730000,False,LOW,NORMAL
REAL_DB,real_db_277,84,UPDATE_LEMARI,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:13:56.401000,False,LOW,NORMAL
REAL_DB,real_db_77,6,SETUP_2FA_GENERATE,SUCCESS,unknown,unknown,0.0,1.0,2026-07-05 22:09:40.643000,False,LOW,NORMAL
REAL_DB,real_db_84,6,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 13:00:31.078000,False,LOW,NORMAL
REAL_DB,real_db_273,84,CREATE_USER,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 08:13:53.765000,False,LOW,NORMAL
REAL_DB,real_db_179,6,PENGEMBALIAN,SUCCESS,unknown,unknown,0.0,1.0,2026-07-09 00:46:05.609000,False,LOW,NORMAL
REAL_DB,real_db_324,1,LOGIN_SUCCESS,SUCCESS,unknown,unknown,0.0,1.0,2026-07-21 15:14:48.394000,False,LOW,NORMAL
REAL_DB,real_db_137,1,PENGEMBALIAN,SUCCESS,unknown,unknown,0.0,1.0,2026-07-08 23:04:55.142000,False,LOW,NORMAL
